game_id,event_id,home_team_name,away_team_name,home_team_id,away_team_id,game_datetime_utc,capture_type,captured_at_utc,pulled_at_utc,verification_status,verification_notes,home_spread_open,home_spread_current,line_movement,total_open,total_current,pinnacle_spread,draftkings_spread,home_tickets_pct,away_tickets_pct,home_money_pct,away_money_pct,steam_flag,rlm_flag,rlm_sharp_side,rlm_note,book_disagreement_flag,book_spread_diff,book_sharp_side,book_note,line_freeze_flag,home_win_prob,away_win_prob,home_ats_wins,home_ats_losses,away_ats_wins,away_ats_losses,home_ml,away_ml,spread,dk_spread,total,over_under,book,market_type,source
401825567,401825567,Maryland Terrapins,Illinois Fighting Illini,120,356,,closing,2026-03-09T05:49:51+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,14.5,14.5,,,,,False,False,,,False,0.0,,,False,0.096,0.904,,,,,,,,,,,consensus,spread,ESPN
401825568,401825568,Michigan Wolverines,Michigan State Spartans,130,127,,closing,2026-03-09T05:49:48+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,-10.5,,,,,,False,False,,,False,,,,False,0.827,0.173,,,,,,,,,,,consensus,spread,ESPN
401825569,401825569,Nebraska Cornhuskers,Iowa Hawkeyes,158,2294,,closing,2026-03-09T05:49:50+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,-4.5,-4.5,,,,,False,False,,,False,0.0,,,False,0.732,0.268,,,,,,,,,,,consensus,spread,ESPN
401825570,401825570,Rutgers Scarlet Knights,Penn State Nittany Lions,164,213,,closing,2026-03-09T05:49:59+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.648,0.352,,,,,,,,,,,consensus,spread,ESPN
401828262,401828262,UAB Blazers,East Carolina Pirates,5,151,,closing,2026-03-09T05:50:11+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.9,0.0999999999999999,,,,,,,,,,,consensus,spread,ESPN
401828263,401828263,South Florida Bulls,Charlotte 49ers,58,2429,,closing,2026-03-09T05:50:05+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.921,0.0789999999999999,,,,,,,,,,,consensus,spread,ESPN
401828264,401828264,Tulane Green Wave,Memphis Tigers,2655,235,,closing,2026-03-09T05:50:04+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.344,0.656,,,,,,,,,,,consensus,spread,ESPN
401828265,401828265,Rice Owls,UTSA Roadrunners,242,2636,,closing,2026-03-09T05:50:10+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.861,0.139,,,,,,,,,,,consensus,spread,ESPN
401828266,401828266,Tulsa Golden Hurricane,Temple Owls,202,218,,closing,2026-03-09T05:50:08+00:00,2026-03-09T05:49:41.198205+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.853,0.147,,,,,,,,,,,consensus,spread,ESPN
401851170,401851170,Stanford Cardinal,Pittsburgh Panthers,24,221,2026-03-10T18:00Z,closing,2026-03-11T05:41:15+00:00,2026-03-11T05:41:04.190272+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.581,0.419,,,,,,,,,,,consensus,spread,ESPN
401851171,401851171,SMU Mustangs,Syracuse Orange,2567,183,2026-03-10T20:30Z,closing,2026-03-11T05:41:17+00:00,2026-03-11T05:41:04.190272+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.672,0.3279999999999999,,,,,,,,,,,consensus,spread,ESPN
401851172,401851172,Virginia Tech Hokies,Wake Forest Demon Deacons,259,154,2026-03-10T23:00Z,closing,2026-03-11T05:41:28+00:00,2026-03-11T05:41:04.190272+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.483,0.517,,,,,,,,,,,consensus,spread,ESPN
401851173,401851173,NC State Wolfpack,Pittsburgh Panthers,152,221,2026-03-11T16:00Z,closing,2026-03-12T05:43:02+00:00,2026-03-12T05:42:48.170061+00:00,verified,matched_espn_event,,,,,,,,,,,,False,False,,,False,,,,False,0.775,0.2249999999999999,,,,,,,,,,,consensus,spread,ESPN
